Player,Tm,3P
Don Buse,IND,73
Joe Hassett,GSW,71
Mike Bratz,SAS,46
Kyle Macy,PHO,39
Brian Winters,MIL,36
Mike Dunleavy,HOU,33
Freeman Williams,TOT,28
Kevin Grevey,WSB,28
Andrew Toney,PHI,25
Campy Russell,NYK,25
Mark Aguirre,DAL,25
Fred Brown,SEA,25
Reggie Theus,CHI,25
Freeman Williams,SDC,24
John Roche,DEN,23
Brian Taylor,SDC,23
Chris Ford,BOS,20
Micheal Ray Richardson,NYK,19
Ricky Sobers,CHI,19
Ron Lee,DET,18
