Player,Tm,PTS
Adrian Dantley*,UTA,2418
Mark Aguirre,DAL,2330
Kiki Vandeweghe,DEN,2295
Alex English*,DEN,2167
Bernard King*,NYK,2027
George Gervin*,SAS,1967
Larry Bird*,BOS,1908
Terry Cummings,SDC,1854
Mike Mitchell,SAS,1839
Rolando Blackman,DAL,1815
Purvis Short,GSW,1803
Eddie Johnson,KCK,1794
Dominique Wilkins*,ATL,1750
Isiah Thomas*,DET,1748
Julius Erving*,PHI,1727
Jim Paxson,POR,1722
Ralph Sampson*,HOU,1720
Kareem Abdul-Jabbar*,LAL,1717
World B. Free,CLE,1669
Jeff Ruland,WSB,1665
