Player,Tm,FTA
Karl Malone*,UTA,913
David Robinson*,SAS,837
Charles Barkley*,PHI,744
Michael Jordan*,CHI,699
Patrick Ewing*,NYK,648
Tom Chambers,PHO,647
Magic Johnson*,LAL,637
Moses Malone*,ATL,631
Reggie Miller*,IND,627
Kevin Johnson,PHO,598
Charles Smith,LAC,572
Tony Campbell,MIN,569
Dominique Wilkins*,ATL,569
Chris Mullin*,GSW,568
Hakeem Olajuwon*,HOU,536
Bernard King*,WSB,513
Detlef Schrempf,IND,490
Terry Catledge,ORL,486
Terry Porter,POR,472
Mitch Richmond*,GSW,469
