Player,Tm,PTS
George Gervin*,SAS,2551
Moses Malone*,HOU,2520
Adrian Dantley*,UTA,2457
Alex English*,DEN,2082
Julius Erving*,PHI,1974
Gus Williams,SEA,1875
Dan Issel*,DEN,1852
Bernard King*,GSW,1833
Kareem Abdul-Jabbar*,LAL,1818
World B. Free,GSW,1789
Kelly Tripucka,DET,1772
Larry Bird*,BOS,1761
Kiki Vandeweghe,DEN,1760
Jamaal Wilkes*,LAL,1734
Jay Vincent,DAL,1732
Mike Mitchell,TOT,1726
Ray Williams,NJN,1674
Mychal Thompson,POR,1642
Jack Sikma*,SEA,1611
Robert Parish*,BOS,1590
