Player,Tm,ORB
Hakeem Olajuwon*,HOU,440
Larry Smith,GSW,405
Moses Malone*,PHI,385
Buck Williams,NJN,323
Bill Laimbeer,DET,295
LaSalle Thompson,KCK,274
Charles Barkley*,PHI,266
Robert Parish*,BOS,263
Terry Cummings,MIL,244
Artis Gilmore*,SAS,231
Cliff Levingston,ATL,230
Kevin McHale*,BOS,229
Mike Gminski,NJN,229
Wayne Cooper,DEN,229
Ralph Sampson*,HOU,227
Dominique Wilkins*,ATL,226
Clark Kellogg,IND,224
Alton Lister,MIL,219
Jerome Whitehead,GSW,219
Clyde Drexler*,POR,217
