Player,Tm,PTS
Michael Jordan*,CHI,2633
Karl Malone*,UTA,2326
Dale Ellis,SEA,2253
Chris Mullin*,GSW,2176
Alex English*,DEN,2175
Clyde Drexler*,POR,2123
Dominique Wilkins*,ATL,2099
Tom Chambers,PHO,2085
Charles Barkley*,PHI,2037
Hakeem Olajuwon*,HOU,2034
Terry Cummings,MIL,1829
Patrick Ewing*,NYK,1815
Kevin McHale*,BOS,1758
Mitch Richmond*,GSW,1741
Magic Johnson*,LAL,1730
Chuck Person,IND,1728
Xavier McDaniel,SEA,1677
Bernard King*,WSB,1674
James Worthy*,LAL,1657
Jeff Malone,WSB,1651
