Player,Tm,STL
Michael Jordan*,CHI,259
Alvin Robertson,SAS,243
John Stockton*,UTA,242
Fat Lever,DEN,223
Mark Jackson,NYK,205
Clyde Drexler*,POR,203
Nate McMillan,SEA,169
Derek Harper,DAL,168
Michael Adams,DEN,168
Maurice Cheeks*,PHI,167
Hakeem Olajuwon*,HOU,162
Byron Scott,LAL,155
Terry Porter,POR,150
Isiah Thomas*,DET,141
Doc Rivers,ATL,140
Jerome Kersey,POR,127
Muggsy Bogues,WSB,127
Larry Bird*,BOS,125
Allen Leavell,HOU,124
Ron Harper,CLE,122
