Player,Tm,BLK
George Johnson,SAS,278
Kareem Abdul-Jabbar*,LAL,228
Robert Parish*,BOS,214
Artis Gilmore*,CHI,198
Harvey Catchings,MIL,184
Terry Tyler,DET,180
Ben Poquette,UTA,174
Elvin Hayes*,WSB,171
Mychal Thompson,POR,170
Kevin McHale*,BOS,151
Moses Malone*,HOU,150
Julius Erving*,PHI,147
James Bailey,SEA,143
Caldwell Jones,PHI,134
James Edwards,IND,128
Dave Greenwood,CHI,124
Joe Barry Carroll,GSW,121
Sam Lacey,KCK,120
Clemon Johnson,IND,119
Dan Roundfield,ATL,119
