Player,Tm,FGA
Mark Aguirre,DAL,1765
Alex English*,DEN,1714
Kiki Vandeweghe,DEN,1603
Mike Mitchell,SAS,1597
George Gervin*,SAS,1561
Eddie Johnson,KCK,1552
Larry Bird*,BOS,1542
Purvis Short,GSW,1509
Terry Cummings,SDC,1491
Isiah Thomas*,DET,1448
Adrian Dantley*,UTA,1438
Dominique Wilkins*,ATL,1429
Darrell Griffith,UTA,1423
World B. Free,CLE,1407
Bernard King*,NYK,1391
Joe Barry Carroll,GSW,1390
Ralph Sampson*,HOU,1369
Julius Erving*,PHI,1324
Jim Paxson,POR,1322
Rolando Blackman,DAL,1320
