Player,Tm,TOV
Charles Barkley*,PHI,350
Reggie Theus,SAC,327
Sleepy Floyd,GSW,290
Isiah Thomas*,DET,289
Ralph Sampson*,HOU,285
Clyde Drexler*,POR,282
Karl Malone*,UTA,279
Joe Barry Carroll,GSW,275
Magic Johnson*,LAL,273
Larry Bird*,BOS,266
Moses Malone*,PHI,261
Alvin Robertson,SAS,256
Mark Aguirre,DAL,252
Dominique Wilkins*,ATL,251
Alex English*,DEN,249
Xavier McDaniel,SEA,248
Buck Williams,NJN,244
Paul Pressey,MIL,240
John Bagley,CLE,239
Maurice Cheeks*,PHI,238
