Player,Tm,3PA
Mike Bratz,CLE,169
Joe Hassett,TOT,156
Freeman Williams,SDC,141
Kevin Grevey,WSB,136
Joe Hassett,GSW,116
Brian Taylor,SDC,115
Chris Ford,BOS,109
Micheal Ray Richardson,NYK,102
Henry Bibby,SDC,95
Reggie Theus,CHI,90
Scott Wedman,KCK,77
Larry Bird*,BOS,74
Ray Williams,NYK,68
Ricky Sobers,CHI,66
Fred Brown,SEA,64
Don Buse,IND,58
Billy Ray Bates,POR,54
Darrell Griffith,UTA,52
Rudy Tomjanovich*,HOU,51
Dennis Johnson*,PHO,51
