Player,Tm,TRB
Charles Oakley,CHI,1074
Buck Williams,NJN,1023
Charles Barkley*,PHI,994
James Donaldson,DAL,973
Bill Laimbeer,DET,955
Michael Cage,LAC,922
Larry Smith,GSW,917
Hakeem Olajuwon*,HOU,858
Karl Malone*,UTA,855
Robert Parish*,BOS,851
Kevin Willis,ATL,849
Moses Malone*,WSB,824
Jack Sikma*,MIL,822
Otis Thorpe,SAC,819
Dave Greenwood,SAS,783
Kevin McHale*,BOS,763
Fat Lever,DEN,729
Xavier McDaniel,SEA,705
Alton Lister,SEA,705
Terry Cummings,MIL,700
