Player,Tm,PER
Moses Malone*,PHI,25.1
Adrian Dantley*,UTA,24.4
Alex English*,DEN,24.1
Larry Bird*,BOS,24.1
Kareem Abdul-Jabbar*,LAL,23.6
Julius Erving*,PHI,23.1
Magic Johnson*,LAL,23.0
Robert Parish*,BOS,23.0
Terry Cummings,SDC,22.8
Sidney Moncrief*,MIL,22.6
Kiki Vandeweghe,DEN,21.8
Dan Issel*,DEN,21.6
Artis Gilmore*,SAS,21.2
Marques Johnson,MIL,21.1
Bob McAdoo*,LAL,20.6
George Gervin*,SAS,20.5
Gus Williams,SEA,20.5
Mark Aguirre,DAL,20.5
Clark Kellogg,IND,20.3
Bernard King*,NYK,20.3
