Player,Tm,OWS
Michael Jordan*,CHI,14.7
Charles Barkley*,PHI,13.1
Magic Johnson*,LAL,12.8
Reggie Miller*,IND,10.8
Karl Malone*,UTA,10.5
John Stockton*,UTA,10.4
Dominique Wilkins*,ATL,9.3
Kevin Johnson,PHO,9.0
Chris Mullin*,GSW,8.9
Patrick Ewing*,NYK,8.3
Terry Porter,POR,7.9
David Robinson*,SAS,7.9
Kevin McHale*,BOS,7.8
Mark Price,CLE,7.6
Tom Chambers,PHO,7.5
James Worthy*,LAL,7.5
Clyde Drexler*,POR,7.3
Charles Smith,LAC,6.3
Derek Harper,DAL,6.3
Detlef Schrempf,IND,6.1
