Player,Tm,MP
Jeff Ruland,WSB,3082
Sidney Moncrief*,MIL,3075
Norm Nixon,SDC,3053
Larry Bird*,BOS,3028
Rolando Blackman,DAL,3025
Isiah Thomas*,DET,3007
Buck Williams,NJN,3003
Jack Sikma*,SEA,2993
Adrian Dantley*,UTA,2984
Joe Barry Carroll,GSW,2962
Dominique Wilkins*,ATL,2961
Purvis Short,GSW,2945
Eddie Johnson,KCK,2920
Terry Cummings,SDC,2907
Mark Aguirre,DAL,2900
Larry Nance,PHO,2899
Alex English*,DEN,2870
Robert Parish*,BOS,2867
Bill Laimbeer,DET,2864
Mike Mitchell,SAS,2853
