Player,Tm,AST
Isiah Thomas*,DET,914
Norm Nixon,SDC,914
Magic Johnson*,LAL,875
Rickey Green,UTA,748
Gus Williams,SEA,675
John Lucas,SAS,673
Ennis Whatley,CHI,662
Frank Johnson,WSB,567
Johnny Moore,SAS,566
Brad Davis,DAL,561
Larry Drew,KCK,558
Rory Sparrow,NYK,539
Larry Bird*,BOS,520
Kelvin Ransey,NJN,483
Michael Cooper,LAL,482
Maurice Cheeks*,PHI,478
Rob Williams,DEN,464
Allen Leavell,HOU,459
Jerry Sichting,IND,457
Ray Williams,NYK,449
