Player,Tm,STL
Michael Jordan*,CHI,227
Scottie Pippen*,CHI,211
Alvin Robertson,MIL,207
John Stockton*,UTA,207
Derek Harper,DAL,187
Tyrone Corbin,MIN,175
Hakeem Olajuwon*,HOU,174
Lester Conner,NJN,172
Fat Lever,DEN,168
Muggsy Bogues,CHH,166
Tim Hardaway*,GSW,165
Jay Humphries,MIL,156
Terry Porter,POR,151
Charles Barkley*,PHI,148
Sherman Douglas,MIA,145
Clyde Drexler*,POR,145
Nate McMillan,SEA,140
Isiah Thomas*,DET,139
Darrell Walker,WSB,139
David Robinson*,SAS,138
