Player,Tm,DRB
Jack Sikma*,SEA,815
Mychal Thompson,POR,663
Buck Williams,NJN,658
Larry Bird*,BOS,637
Moses Malone*,HOU,630
Maurice Lucas,NYK,629
Artis Gilmore*,CHI,611
Dave Greenwood,CHI,594
Robert Parish*,BOS,578
Rick Mahorn,WSB,555
Caldwell Jones,PHI,544
Larry Smith,GSW,534
Truck Robinson,PHO,519
Jeff Ruland,WSB,509
Magic Johnson*,LAL,499
Greg Ballard,WSB,497
Dan Roundfield,ATL,494
Jeff Wilkins,UTA,491
Kareem Abdul-Jabbar*,LAL,487
Elvin Hayes*,HOU,480
