Player,Tm,FG
Alex English*,DEN,951
Dominique Wilkins*,ATL,888
Adrian Dantley*,UTA,818
Mike Mitchell,SAS,802
Larry Bird*,BOS,796
Kareem Abdul-Jabbar*,LAL,755
Jeff Malone,WSB,735
Kiki Vandeweghe,POR,719
Terry Cummings,MIL,681
Rolando Blackman,DAL,677
Mark Aguirre,DAL,668
World B. Free,CLE,652
Joe Barry Carroll,GSW,650
Purvis Short,GSW,633
James Worthy*,LAL,629
Herb Williams,IND,627
Hakeem Olajuwon*,HOU,625
Walter Davis,PHO,624
Ralph Sampson*,HOU,624
Eddie Johnson,SAC,623
