Player,Pos,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,2P%,eFG%,FT%,Season,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Derek Smith,SG,25,SAC,52,31.9,16.6,3.5,3.9,0.9,0.4,2.4,0.446,0.273,0.454,0.452,0.781,1986-1987,13.1,0.503,23.7,0.9,0.6,1.6,0.045,-1.0,-1.2,-2.2,-0.1
Larry Smith,PF,29,GSW,80,29.7,8.8,11.5,1.2,0.9,0.7,1.7,0.546,,0.547,0.546,0.574,1986-1987,14.2,0.561,13.0,2.7,2.7,5.4,0.109,-0.2,-0.8,-1.1,0.6
Rory Sparrow,PG,28,NYK,80,24.4,7.6,1.4,5.4,0.8,0.1,1.8,0.446,0.262,0.46,0.455,0.798,1986-1987,11.2,0.483,16.4,0.4,0.6,1.0,0.024,-1.1,-1.3,-2.4,-0.2
Brook Steppe,SG,27,SAC,34,19.6,7.8,1.8,2.4,0.5,0.1,1.6,0.477,0.333,0.484,0.485,0.83,1986-1987,11.4,0.559,17.5,0.5,0.2,0.7,0.05,-1.2,-0.8,-2.0,0.0
Steve Stipanovich,C,26,IND,81,34.1,13.2,8.3,2.2,1.3,1.2,1.6,0.503,,0.504,0.503,0.837,1986-1987,15.9,0.582,15.9,4.6,4.4,9.0,0.156,0.2,1.6,1.8,2.6
John Stockton*,PG,24,UTA,82,22.7,7.9,1.8,8.2,2.2,0.2,2.0,0.499,0.179,0.528,0.506,0.782,1986-1987,19.0,0.575,15.5,3.4,3.3,6.7,0.174,1.6,3.7,5.3,3.4
Jon Sundvold,PG,25,SAS,76,23.2,11.2,1.3,4.1,0.5,0.0,1.3,0.486,0.336,0.523,0.519,0.833,1986-1987,14.5,0.539,20.1,2.7,0.3,3.0,0.08,0.8,-2.3,-1.5,0.2
Roy Tarpley,PF,22,DAL,75,18.7,7.5,7.1,0.7,0.7,1.1,1.3,0.467,,0.468,0.468,0.676,1986-1987,15.2,0.501,19.1,0.6,2.5,3.1,0.105,-2.3,0.4,-1.9,0.0
Terry Teagle,SG,26,GSW,82,20.1,11.2,2.1,1.3,0.8,0.2,1.4,0.458,0.0,0.464,0.458,0.778,1986-1987,13.2,0.506,25.1,0.4,0.8,1.3,0.037,-1.9,-1.3,-3.3,-0.5
Reggie Theus,PG,29,SAC,79,36.4,20.3,3.4,8.8,1.0,0.2,3.7,0.472,0.218,0.489,0.479,0.867,1986-1987,17.9,0.555,24.1,5.4,0.8,6.2,0.104,2.8,-1.9,0.9,2.1
Isiah Thomas*,PG,25,DET,81,37.2,20.6,3.9,10.0,1.9,0.2,4.2,0.463,0.194,0.484,0.47,0.768,1986-1987,18.8,0.528,25.9,3.8,3.8,7.6,0.121,2.9,0.4,3.3,4.0
LaSalle Thompson,C,25,SAC,82,26.4,11.1,8.4,1.5,0.8,1.5,1.7,0.481,0.0,0.485,0.481,0.737,1986-1987,15.7,0.528,18.6,2.0,2.5,4.5,0.1,-0.9,0.4,-0.4,0.8
Mychal Thompson,PF,32,TOT,82,23.0,11.4,5.0,1.4,0.5,0.9,1.6,0.45,,0.45,0.451,0.737,1986-1987,13.9,0.506,22.6,0.8,1.8,2.6,0.066,-1.5,-1.1,-2.6,-0.3
Mychal Thompson,PF,32,SAS,49,24.7,12.3,5.6,1.8,0.6,0.8,1.6,0.436,,0.435,0.437,0.735,1986-1987,14.6,0.492,22.9,0.6,1.0,1.6,0.063,-0.9,-0.9,-1.8,0.1
Mychal Thompson,PF,32,LAL,33,20.6,10.1,4.1,0.8,0.4,0.9,1.7,0.48,,0.481,0.48,0.743,1986-1987,12.6,0.531,22.1,0.2,0.8,1.0,0.071,-2.7,-1.3,-4.0,-0.3
Otis Thorpe,PF,24,SAC,82,36.0,18.9,10.0,2.5,0.6,0.7,2.3,0.54,,0.542,0.54,0.761,1986-1987,18.0,0.6,20.0,6.8,2.1,9.0,0.146,1.8,-0.6,1.2,2.4
Sedale Threatt,PG,25,TOT,68,21.3,8.5,1.6,3.8,1.1,0.2,1.3,0.448,0.219,0.462,0.454,0.798,1986-1987,13.6,0.495,19.7,1.1,1.3,2.5,0.082,-1.6,0.0,-1.6,0.2
Sedale Threatt,PG,25,PHI,28,23.9,9.5,2.0,2.9,1.1,0.1,1.7,0.414,0.438,0.412,0.427,0.792,1986-1987,10.5,0.466,20.8,-0.1,0.5,0.4,0.027,-3.2,-0.6,-3.8,-0.3
Sedale Threatt,PG,25,CHI,40,19.5,7.9,1.3,4.4,1.1,0.2,1.1,0.48,0.0,0.51,0.48,0.803,1986-1987,16.2,0.521,18.7,1.3,0.8,2.1,0.129,-0.2,0.6,0.4,0.5
Wayman Tisdale,PF,22,IND,81,26.7,14.5,5.9,1.4,0.6,0.3,1.7,0.513,,0.515,0.513,0.709,1986-1987,16.3,0.558,23.0,3.2,2.3,5.6,0.124,0.4,-1.0,-0.6,0.7
Andrew Toney,SG,29,PHI,52,20.3,10.6,1.6,3.6,0.3,0.2,2.2,0.451,0.328,0.473,0.476,0.796,1986-1987,14.3,0.538,24.7,0.8,0.5,1.2,0.056,0.6,-2.7,-2.1,0.0
Kelly Tripucka,SF,27,UTA,79,23.6,10.1,3.1,3.1,1.1,0.1,2.1,0.469,0.365,0.478,0.484,0.872,1986-1987,13.0,0.554,18.9,0.8,2.6,3.3,0.085,-1.6,0.9,-0.7,0.6
Trent Tucker,SG,27,NYK,70,24.2,11.4,1.9,2.4,1.7,0.2,1.1,0.47,0.422,0.485,0.52,0.762,1986-1987,15.4,0.54,20.1,2.1,1.3,3.4,0.096,0.6,1.2,1.8,1.6
Terry Tyler,SF,30,SAC,82,23.5,9.3,4.0,0.9,0.7,1.0,1.0,0.495,,0.496,0.496,0.721,1986-1987,12.8,0.524,16.6,1.6,1.3,2.9,0.072,-0.6,0.0,-0.6,0.7
Darnell Valentine,PG,27,LAC,65,27.1,11.2,2.3,6.9,1.8,0.2,2.6,0.41,0.232,0.426,0.42,0.815,1986-1987,14.5,0.478,21.0,0.0,1.1,1.1,0.029,-0.4,-0.5,-1.0,0.5
Kiki Vandeweghe,SF,28,POR,79,38.3,26.9,3.2,2.8,0.7,0.2,1.8,0.523,0.481,0.525,0.536,0.886,1986-1987,19.2,0.597,24.8,9.6,1.3,10.8,0.171,3.4,-1.9,1.5,2.7
Jay Vincent,SF,27,WSB,51,27.2,13.3,4.1,1.7,0.8,0.3,1.5,0.447,0.0,0.449,0.447,0.769,1986-1987,13.2,0.493,22.2,0.7,1.2,1.9,0.067,-1.5,-1.0,-2.5,-0.2
Darrell Walker,PG,25,DEN,81,24.9,12.2,4.0,3.5,1.5,0.5,2.3,0.482,,0.485,0.482,0.745,1986-1987,15.8,0.547,20.7,2.0,1.8,3.8,0.09,0.3,0.2,0.4,1.3
Kenny Walker,SF,22,NYK,68,25.3,10.4,5.0,1.1,0.7,0.7,1.1,0.491,0.0,0.494,0.491,0.757,1986-1987,13.3,0.536,17.9,1.9,1.3,3.1,0.088,-1.2,-0.4,-1.6,0.2
Pearl Washington,PG,23,NJN,72,22.2,8.6,1.8,4.2,1.3,0.1,2.4,0.478,0.167,0.492,0.481,0.784,1986-1987,11.5,0.519,19.4,-0.4,1.2,0.7,0.022,-1.7,-0.2,-2.0,0.0
Spud Webb,PG,23,ATL,33,16.1,6.8,1.8,5.1,1.0,0.1,2.1,0.438,0.167,0.449,0.441,0.762,1986-1987,16.5,0.536,21.5,0.4,0.8,1.2,0.107,1.0,1.4,2.4,0.6
Mark West,C,26,CLE,78,17.1,6.5,4.3,0.5,0.3,1.0,1.4,0.543,,0.546,0.543,0.514,1986-1987,11.5,0.55,17.0,0.1,1.8,1.9,0.068,-3.7,0.7,-3.0,-0.4
Ennis Whatley,PG,24,WSB,73,24.9,8.5,2.7,5.4,1.3,0.1,1.9,0.478,,0.48,0.478,0.764,1986-1987,14.0,0.526,16.0,1.5,1.8,3.3,0.088,-0.7,0.2,-0.5,0.7
Rory White,SF,27,LAC,68,22.7,9.2,2.9,1.2,0.7,0.3,1.1,0.48,,0.483,0.48,0.653,1986-1987,10.8,0.507,17.7,0.5,0.4,1.0,0.03,-2.4,-1.4,-3.8,-0.7
Mitchell Wiggins,SG,27,HOU,32,24.6,11.1,4.2,2.4,1.4,0.1,1.6,0.437,0.0,0.443,0.437,0.754,1986-1987,13.5,0.469,22.2,0.1,1.0,1.2,0.07,-1.5,0.2,-1.2,0.2
