Player,Tm,PER
Michael Jordan*,CHI,29.8
Magic Johnson*,LAL,27.0
Larry Bird*,BOS,26.4
Charles Barkley*,PHI,25.1
Kevin McHale*,BOS,24.0
Moses Malone*,WSB,23.8
Hakeem Olajuwon*,HOU,23.8
Dominique Wilkins*,ATL,23.5
Larry Nance,PHO,22.2
Mark Aguirre,DAL,22.1
Fat Lever,DEN,20.8
Alex English*,DEN,20.5
Terry Cummings,MIL,20.5
Clyde Drexler*,POR,20.2
Sleepy Floyd,GSW,20.2
Derek Harper,DAL,20.0
Doc Rivers,ATL,19.9
John Lucas,MIL,19.4
Walter Davis,PHO,19.3
Kiki Vandeweghe,POR,19.2
