Player,Tm,STL
Micheal Ray Richardson,NJN,243
Johnny Moore,SAS,229
Fat Lever,DEN,202
Michael Jordan*,CHI,196
Isiah Thomas*,DET,187
Gus Williams,WSB,178
Clyde Drexler*,POR,177
Maurice Cheeks*,PHI,169
Darrell Walker,NYK,167
Doc Rivers,ATL,163
Lester Conner,GSW,161
Derek Harper,DAL,144
Darnell Valentine,POR,143
Gerald Henderson,SEA,140
T.R. Dunn,DEN,140
Julius Erving*,PHI,135
Dominique Wilkins*,ATL,135
Sleepy Floyd,GSW,134
Darrell Griffith,UTA,133
Rickey Green,UTA,132
