Player,Tm,STL
Rickey Green,UTA,220
Isiah Thomas*,DET,199
Johnny Moore,SAS,194
Darwin Cook,NJN,194
Maurice Cheeks*,PHI,184
Micheal Ray Richardson,TOT,182
Gus Williams,SEA,182
Magic Johnson*,LAL,176
Allen Leavell,HOU,165
Fat Lever,POR,153
Larry Bird*,BOS,148
T.R. Dunn,DEN,147
Reggie Theus,CHI,143
Clark Kellogg,IND,141
Jim Paxson,POR,140
Darrell Griffith,UTA,138
Mike Woodson,KCK,137
Greg Ballard,WSB,135
Terry Cummings,SDC,129
Larry Drew,KCK,126
