Player,Tm,STL
John Stockton*,UTA,263
Michael Jordan*,CHI,234
Clyde Drexler*,POR,213
Hakeem Olajuwon*,HOU,213
Alvin Robertson,SAS,197
Fat Lever,DEN,195
Ron Harper,CLE,185
Doc Rivers,ATL,181
Lester Conner,NJN,181
Chris Mullin*,GSW,176
Winston Garland,GSW,175
Derek Harper,DAL,172
Michael Adams,DEN,166
Nate McMillan,SEA,156
Darrell Walker,WSB,155
Willie Anderson,SAS,150
Terry Porter,POR,146
Karl Malone*,UTA,144
Gary Grant,LAC,144
John Williams,WSB,142
