Player,Tm,STL
Alvin Robertson,SAS,301
Maurice Cheeks*,PHI,207
Clyde Drexler*,POR,197
Fat Lever,DEN,178
Charles Barkley*,PHI,173
Isiah Thomas*,DET,171
Paul Pressey,MIL,168
Larry Bird*,BOS,166
Sleepy Floyd,GSW,157
John Stockton*,UTA,157
Darwin Cook,NJN,156
T.R. Dunn,DEN,155
Derek Harper,DAL,153
Darrell Walker,NYK,146
Dominique Wilkins*,ATL,138
Gerald Henderson,SEA,138
Hakeem Olajuwon*,HOU,134
Jay Humphries,PHO,132
Vern Fleming,IND,131
Micheal Ray Richardson,NJN,125
