Player,Tm,STL
Alvin Robertson,SAS,260
Michael Jordan*,CHI,236
Ron Harper,CLE,209
Clyde Drexler*,POR,204
Fat Lever,DEN,201
Maurice Cheeks*,PHI,180
John Stockton*,UTA,177
Doc Rivers,ATL,171
Derek Harper,DAL,167
Terry Porter,POR,159
Isiah Thomas*,DET,153
Sleepy Floyd,GSW,146
Hakeem Olajuwon*,HOU,140
Magic Johnson*,LAL,138
Larry Bird*,BOS,135
John Williams,WSB,129
Terry Cummings,MIL,129
Byron Scott,LAL,125
Nate McMillan,SEA,125
Jerome Kersey,POR,122
