Player,Tm,STL
Micheal Ray Richardson,NYK,213
Maurice Cheeks*,PHI,209
Magic Johnson*,LAL,208
Ray Williams,NJN,199
Rickey Green,UTA,185
Quinn Buckner,MIL,174
Gus Williams,SEA,172
Don Buse,IND,164
Johnny Moore,SAS,163
Julius Erving*,PHI,161
Isiah Thomas*,DET,150
Allen Leavell,HOU,150
Darwin Cook,NJN,146
Larry Bird*,BOS,143
Kyle Macy,PHO,143
Mike Woodson,TOT,142
Sidney Moncrief*,MIL,138
Greg Ballard,WSB,137
Mike Woodson,KCK,135
T.R. Dunn,DEN,135
