Player,Tm,TOV
Ray Williams,KCK,335
Isiah Thomas*,DET,326
Reggie Theus,CHI,321
Magic Johnson*,LAL,301
Jeff Ruland,WSB,297
Joe Barry Carroll,GSW,285
Mychal Thompson,POR,281
Darryl Dawkins,NJN,281
Larry Drew,KCK,272
Andrew Toney,PHI,271
Moses Malone*,PHI,264
Alex English*,DEN,263
Mark Aguirre,DAL,261
Artis Gilmore*,SAS,254
Danny Schayes,TOT,253
Darrell Griffith,UTA,252
George Gervin*,SAS,247
Buck Williams,NJN,246
Albert King,NJN,245
Dan Roundfield,ATL,245
