Player,Tm,TOV
Kevin Johnson,PHO,322
Magic Johnson*,LAL,312
John Stockton*,UTA,308
Chuck Person,IND,308
Isiah Thomas*,DET,298
Chris Mullin*,GSW,296
Michael Jordan*,CHI,290
Karl Malone*,UTA,285
Hakeem Olajuwon*,HOU,275
Mitch Richmond*,GSW,269
Patrick Ewing*,NYK,266
Willie Anderson,SAS,261
Gary Grant,LAC,258
Charles Barkley*,PHI,254
Sleepy Floyd,HOU,253
Clyde Drexler*,POR,250
Kenny Smith,SAC,249
Charles Oakley,NYK,248
Terry Porter,POR,248
Kevin Edwards,MIA,246
