Player,Tm,TOV
Jeff Ruland,WSB,342
Isiah Thomas*,DET,307
Magic Johnson*,LAL,306
Andrew Toney,PHI,297
Ralph Sampson*,HOU,294
Mark Aguirre,DAL,285
Joe Barry Carroll,GSW,268
Ennis Whatley,CHI,268
Adrian Dantley*,UTA,263
Norm Nixon,SDC,257
Moses Malone*,PHI,250
Lewis Lloyd,HOU,245
Darrell Griffith,UTA,243
Buck Williams,NJN,237
Larry Bird*,BOS,237
Jack Sikma*,SEA,236
Mychal Thompson,POR,235
Gus Williams,SEA,232
Darryl Dawkins,NJN,231
Julius Erving*,PHI,230
