Player,Tm,TOV
Isiah Thomas*,DET,322
Hakeem Olajuwon*,HOU,316
Karl Malone*,UTA,304
Magic Johnson*,LAL,289
Scottie Pippen*,CHI,278
Patrick Ewing*,NYK,278
John Stockton*,UTA,272
Kevin Johnson,PHO,263
Tim Hardaway*,GSW,260
David Robinson*,SAS,257
Tony Campbell,MIN,251
Bernard King*,WSB,248
Michael Jordan*,CHI,247
Sherman Douglas,MIA,246
Terry Porter,POR,245
Larry Bird*,BOS,243
Charles Barkley*,PHI,243
Chris Mullin*,GSW,239
Rony Seikaly,MIA,236
Moses Malone*,ATL,232
