Player,Tm,TOV
Moses Malone*,HOU,308
Micheal Ray Richardson,NYK,302
Larry Bird*,BOS,289
Norm Nixon,LAL,285
Adrian Dantley*,UTA,282
Julius Erving*,PHI,266
Bernard King*,GSW,265
Tiny Archibald*,BOS,265
Wes Matthews,TOT,261
Reggie Theus,CHI,259
Kevin Porter,WSB,251
George Gervin*,SAS,251
Truck Robinson,PHO,250
David Thompson*,DEN,250
Kareem Abdul-Jabbar*,LAL,249
Mike Newlin,NJN,248
Joe Barry Carroll,GSW,243
Mychal Thompson,POR,241
Alex English*,DEN,241
Phil Ford,KCK,241
