Player,Tm,TOV
Ron Harper,CLE,345
Isiah Thomas*,DET,343
Charles Barkley*,PHI,322
Magic Johnson*,LAL,300
Charles Oakley,CHI,299
Reggie Theus,SAC,289
Sleepy Floyd,GSW,280
Buck Williams,NJN,280
Steve Johnson,POR,276
Michael Jordan*,CHI,272
Tom Chambers,SEA,268
Terry Porter,POR,255
Clyde Drexler*,POR,253
Brad Daugherty,CLE,248
Alvin Robertson,SAS,243
Larry Bird*,BOS,240
Dale Ellis,SEA,238
Karl Malone*,UTA,237
Xavier McDaniel,SEA,234
Patrick Ewing*,NYK,229
