Season,Top15Mean,Top15Max,Top15Min,Top15Median
1980-1981,4.526666666666667,6.9,3.5,4.3
1981-1982,4.993333333333335,7.0,3.9,4.7
1982-1983,4.613333333333334,7.2,3.4,4.2
1983-1984,4.4866666666666655,7.3,3.5,4.1
1984-1985,4.9799999999999995,8.7,3.6,4.5
1985-1986,4.920000000000001,8.4,3.8,4.8
1986-1987,5.833333333333333,10.6,3.7,5.4
1987-1988,5.833333333333334,12.5,3.9,4.7
1988-1989,6.046666666666667,11.4,4.1,5.0
1989-1990,6.573333333333335,10.6,4.9,6.2
