Player,Tm,TRB
Charles Oakley,CHI,1066
Karl Malone*,UTA,986
Hakeem Olajuwon*,HOU,959
Roy Tarpley,DAL,959
Charles Barkley*,PHI,951
Michael Cage,LAC,938
Moses Malone*,WSB,884
Otis Thorpe,SAC,837
Buck Williams,NJN,834
Bill Laimbeer,DET,832
Mike Gminski,TOT,814
James Donaldson,DAL,755
Mark Eaton,UTA,717
Dennis Rodman*,DET,715
A.C. Green,LAL,710
Jack Sikma*,MIL,709
Larry Bird*,BOS,703
Patrick Ewing*,NYK,676
Brad Daugherty,CLE,665
Fat Lever,DEN,665
