Player,Tm,TRB
Moses Malone*,PHI,1031
Bill Laimbeer,DET,1013
Buck Williams,NJN,1005
Hakeem Olajuwon*,HOU,974
Mark Eaton,UTA,927
Larry Smith,GSW,869
LaSalle Thompson,KCK,854
Ralph Sampson*,HOU,853
Artis Gilmore*,SAS,846
Larry Bird*,BOS,842
Robert Parish*,BOS,840
Clark Kellogg,IND,724
Jack Sikma*,SEA,723
Terry Cummings,MIL,716
Kevin McHale*,BOS,712
Jay Vincent,DAL,704
Charles Barkley*,PHI,703
James Donaldson,LAC,668
Sam Bowie,POR,656
Alton Lister,MIL,647
