Player,Tm,TRB
Hakeem Olajuwon*,HOU,1105
Robert Parish*,BOS,996
Charles Barkley*,PHI,986
Moses Malone*,ATL,956
Charles Oakley,NYK,861
Karl Malone*,UTA,853
Mark Eaton,UTA,843
Otis Thorpe,HOU,787
Bill Laimbeer,DET,776
Dennis Rodman*,DET,772
Mike Gminski,PHI,769
Michael Cage,SEA,765
Patrick Ewing*,NYK,740
A.C. Green,LAL,739
LaSalle Thompson,TOT,718
Brad Daugherty,CLE,718
Kurt Rambis,CHH,703
Buck Williams,NJN,696
Benoit Benjamin,LAC,696
Sam Perkins,DAL,688
