Player,Tm,TRB
Hakeem Olajuwon*,HOU,1149
David Robinson*,SAS,983
Karl Malone*,UTA,911
Charles Barkley*,PHI,909
Patrick Ewing*,NYK,893
Michael Cage,SEA,821
Moses Malone*,ATL,812
Buck Williams,POR,800
Robert Parish*,BOS,796
Dennis Rodman*,DET,792
Bill Laimbeer,DET,780
Rony Seikaly,MIA,766
Otis Thorpe,HOU,734
Fat Lever,DEN,734
Mark West,PHO,728
Charles Oakley,NYK,727
Darrell Walker,WSB,714
Larry Bird*,BOS,712
A.C. Green,LAL,712
J.R. Reid,CHH,691
