Player,Tm,TRB
Moses Malone*,HOU,1180
Swen Nater,SDC,1017
Larry Smith,GSW,994
Larry Bird*,BOS,895
Jack Sikma*,SEA,852
Kenny Carr,CLE,835
Artis Gilmore*,CHI,828
Kareem Abdul-Jabbar*,LAL,821
Caldwell Jones,PHI,813
Elvin Hayes*,WSB,789
Truck Robinson,PHO,789
Reggie King,KCK,786
Robert Parish*,BOS,777
Joe Barry Carroll,GSW,759
Dave Greenwood,CHI,724
Bill Laimbeer,CLE,693
Kermit Washington,POR,686
Mychal Thompson,POR,686
Dan Issel*,DEN,676
Wes Unseld*,WSB,673
