Player,Tm,BPM
Michael Jordan*,CHI,13.0
Larry Bird*,BOS,8.8
John Stockton*,UTA,8.5
Charles Barkley*,PHI,7.4
Clyde Drexler*,POR,7.0
Magic Johnson*,LAL,6.0
Fat Lever,DEN,5.1
Doc Rivers,ATL,4.9
Hakeem Olajuwon*,HOU,4.4
Larry Nance,CLE,4.3
Dominique Wilkins*,ATL,4.3
Patrick Ewing*,NYK,4.2
Mark Aguirre,DAL,3.8
Derek Harper,DAL,3.5
Larry Nance,TOT,3.5
Adrian Dantley*,DET,3.5
Kevin McHale*,BOS,3.5
Maurice Cheeks*,PHI,3.4
Byron Scott,LAL,3.4
Nate McMillan,SEA,3.3
