Player,Tm,BPM
Larry Bird*,BOS,8.7
Magic Johnson*,LAL,6.7
Paul Pressey,MIL,5.7
Kareem Abdul-Jabbar*,LAL,5.4
Charles Barkley*,PHI,5.1
Isiah Thomas*,DET,5.0
Adrian Dantley*,UTA,4.9
Sidney Moncrief*,MIL,4.9
Alvin Robertson,SAS,4.7
Kevin McHale*,BOS,4.4
Clyde Drexler*,POR,4.3
Dominique Wilkins*,ATL,4.2
Johnny Moore,SAS,4.0
Hakeem Olajuwon*,HOU,4.0
James Worthy*,LAL,3.9
Larry Nance,PHO,3.9
Maurice Cheeks*,PHI,3.6
Jeff Ruland,WSB,3.5
Sleepy Floyd,GSW,3.5
Doc Rivers,ATL,3.4
