Player,Tm,BPM
Michael Jordan*,CHI,10.8
Larry Bird*,BOS,9.4
Magic Johnson*,LAL,8.8
Charles Barkley*,PHI,6.7
Doc Rivers,ATL,6.0
Hakeem Olajuwon*,HOU,5.8
Dominique Wilkins*,ATL,5.5
John Stockton*,UTA,5.3
Derek Harper,DAL,5.2
Kevin McHale*,BOS,5.1
Larry Nance,PHO,5.0
Fat Lever,DEN,5.0
Clyde Drexler*,POR,4.9
Sleepy Floyd,GSW,4.3
John Lucas,MIL,3.7
Paul Pressey,MIL,3.5
Terry Cummings,MIL,3.3
Isiah Thomas*,DET,3.3
Maurice Cheeks*,PHI,3.2
Mark Aguirre,DAL,3.1
