Player,Tm,BPM
Larry Bird*,BOS,8.8
Michael Jordan*,CHI,7.3
Magic Johnson*,LAL,6.7
Isiah Thomas*,DET,6.3
Kareem Abdul-Jabbar*,LAL,5.1
Bernard King*,NYK,5.1
Sidney Moncrief*,MIL,4.8
Jack Sikma*,SEA,4.4
Larry Nance,PHO,4.4
Terry Cummings,MIL,4.3
Clyde Drexler*,POR,4.3
Paul Pressey,MIL,4.2
Micheal Ray Richardson,NJN,4.1
Alvan Adams,PHO,4.0
Adrian Dantley*,UTA,3.8
Doc Rivers,ATL,3.7
Johnny Moore,SAS,3.7
Maurice Cheeks*,PHI,3.7
Julius Erving*,PHI,3.5
Calvin Natt,DEN,3.1
