Player,Tm,BPM
Michael Jordan*,CHI,11.9
Magic Johnson*,LAL,9.4
John Stockton*,UTA,8.3
Charles Barkley*,PHI,7.5
Clyde Drexler*,POR,6.5
Hakeem Olajuwon*,HOU,5.5
Karl Malone*,UTA,5.4
Fat Lever,DEN,5.2
Doc Rivers,ATL,4.8
Ron Harper,CLE,4.7
John Williams,WSB,4.6
Patrick Ewing*,NYK,4.5
Mark Price,CLE,4.5
Kevin Johnson,PHO,4.2
Chris Mullin*,GSW,4.0
Larry Nance,CLE,3.9
Mark Jackson,NYK,3.5
Dominique Wilkins*,ATL,3.4
Robert Parish*,BOS,3.3
Bill Laimbeer,DET,3.2
