Player,Tm,BPM
Larry Bird*,BOS,7.5
Magic Johnson*,LAL,7.2
Julius Erving*,PHI,6.5
Sidney Moncrief*,MIL,5.4
Adrian Dantley*,UTA,4.8
Maurice Cheeks*,PHI,4.7
Alex English*,DEN,4.6
Kareem Abdul-Jabbar*,LAL,4.5
Marques Johnson,MIL,4.5
Robert Parish*,BOS,4.3
Gus Williams,SEA,4.2
Bobby Jones*,PHI,4.0
Moses Malone*,PHI,3.7
Larry Nance,PHO,3.5
Bernard King*,NYK,3.5
Mike Woodson,KCK,3.4
Terry Cummings,SDC,3.0
Johnny Moore,SAS,3.0
Jim Paxson,POR,3.0
Bill Walton*,SDC,2.9
