Player,Tm,BPM
Larry Bird*,BOS,7.6
Magic Johnson*,LAL,6.6
Julius Erving*,PHI,5.9
Isiah Thomas*,DET,4.8
Bobby Jones*,PHI,4.6
Bernard King*,NYK,4.5
Adrian Dantley*,UTA,4.2
Sidney Moncrief*,MIL,4.1
Mark Aguirre,DAL,3.7
Marques Johnson,MIL,3.6
Kiki Vandeweghe,DEN,3.6
Alex English*,DEN,3.4
Larry Nance,PHO,3.1
Ray Williams,NYK,3.1
Johnny Moore,SAS,3.1
Rickey Green,UTA,3.0
Kareem Abdul-Jabbar*,LAL,3.0
Jack Sikma*,SEA,2.9
Mychal Thompson,POR,2.7
Gus Williams,SEA,2.7
