Player,Tm,BPM
Magic Johnson*,LAL,8.8
Julius Erving*,PHI,7.5
Kareem Abdul-Jabbar*,LAL,6.1
Marques Johnson,MIL,5.6
Robert Parish*,BOS,5.4
Alvan Adams,PHO,5.1
Bobby Jones*,PHI,4.7
Larry Bird*,BOS,4.3
Artis Gilmore*,CHI,4.3
Adrian Dantley*,UTA,4.3
Maurice Cheeks*,PHI,4.0
Bob Lanier*,MIL,3.9
Sidney Moncrief*,MIL,3.8
Cedric Maxwell,BOS,3.5
Moses Malone*,HOU,3.3
Micheal Ray Richardson,NYK,3.2
Dan Roundfield,ATL,3.1
Ray Williams,NYK,3.0
Steve Mix,PHI,3.0
Joe Hassett,GSW,2.9
