Player,Tm,BPM
Julius Erving*,PHI,7.7
Magic Johnson*,LAL,7.2
Larry Bird*,BOS,6.6
Gus Williams,SEA,5.1
Kareem Abdul-Jabbar*,LAL,5.0
Sidney Moncrief*,MIL,4.8
Moses Malone*,HOU,4.5
Artis Gilmore*,CHI,4.3
Maurice Cheeks*,PHI,4.2
Adrian Dantley*,UTA,4.1
Bobby Jones*,PHI,4.1
Jack Sikma*,SEA,3.9
George Gervin*,SAS,3.9
Alex English*,DEN,3.8
Robert Parish*,BOS,3.8
Ray Williams,NJN,3.6
Alvan Adams,PHO,3.6
Ron Brewer,SAS,3.3
Greg Ballard,WSB,3.2
Marques Johnson,MIL,2.9
