Player,Tm,ORB
Larry Smith,GSW,384
Charles Barkley*,PHI,354
Moses Malone*,PHI,339
Hakeem Olajuwon*,HOU,333
Buck Williams,NJN,329
Xavier McDaniel,SEA,307
Bill Laimbeer,DET,305
Dominique Wilkins*,ATL,261
Ralph Sampson*,HOU,258
Charles Oakley,CHI,255
LaSalle Thompson,SAC,252
Robert Parish*,BOS,246
Kevin Willis,ATL,243
Cedric Maxwell,LAC,241
Terry Cummings,MIL,222
Dan Roundfield,WSB,210
Sidney Green,CHI,208
Mike Gminski,NJN,206
Alton Lister,MIL,199
Earl Cureton,DET,198
