Player,Tm,ORB
Charles Barkley*,PHI,390
Larry Smith,GSW,366
Michael Cage,LAC,354
Moses Malone*,WSB,340
Xavier McDaniel,SEA,338
Buck Williams,NJN,322
Kevin Willis,ATL,321
Hakeem Olajuwon*,HOU,315
Charles Oakley,CHI,299
James Donaldson,DAL,295
Karl Malone*,UTA,278
Otis Thorpe,SAC,259
Dave Greenwood,SAS,256
Robert Parish*,BOS,254
Terry Catledge,WSB,248
Kevin McHale*,BOS,247
Bill Laimbeer,DET,243
LaSalle Thompson,SAC,237
Clyde Drexler*,POR,227
Alton Lister,SEA,223
