Player,Tm,ORB
Moses Malone*,PHI,445
Buck Williams,NJN,365
Clark Kellogg,IND,340
Terry Cummings,SDC,303
Artis Gilmore*,SAS,299
Jeff Ruland,WSB,293
Bill Laimbeer,DET,282
Alex English*,DEN,263
Robert Parish*,BOS,260
Dan Roundfield,ATL,259
Dave Corzine,CHI,243
Larry Nance,PHO,239
Michael Brooks,SDC,239
T.R. Dunn,DEN,231
Dominique Wilkins*,ATL,226
Pat Cummings,DAL,225
Caldwell Jones,HOU,222
Gene Banks,SAS,222
Phil Hubbard,CLE,222
Joe Barry Carroll,GSW,220
