Player,Tm,ORB
Buck Williams,NJN,355
Moses Malone*,PHI,352
Bill Laimbeer,DET,329
Terry Cummings,SDC,323
Ralph Sampson*,HOU,293
Larry Smith,GSW,282
Jeff Ruland,WSB,265
LaSalle Thompson,KCK,260
Dominique Wilkins*,ATL,254
Robert Parish*,BOS,243
Joe Barry Carroll,GSW,235
Mychal Thompson,POR,235
Cliff Levingston,DET,234
Clark Kellogg,IND,230
Larry Nance,PHO,227
Jack Sikma*,SEA,225
Tom Chambers,SEA,219
Alex English*,DEN,216
Sidney Moncrief*,MIL,215
Dave Greenwood,CHI,214
