Player,Tm,ORB
Charles Barkley*,PHI,403
Moses Malone*,ATL,386
Charles Oakley,NYK,343
Robert Parish*,BOS,342
Hakeem Olajuwon*,HOU,338
Dennis Rodman*,DET,327
Clyde Drexler*,POR,289
Terry Cummings,MIL,281
Michael Cage,SEA,276
Otis Thorpe,HOU,272
Larry Smith,GSW,272
Kurt Rambis,CHH,269
Karl Malone*,UTA,259
A.C. Green,LAL,258
Dominique Wilkins*,ATL,256
Greg Anderson,SAS,255
Buck Williams,NJN,249
Jerome Kersey,POR,246
Kevin Duckworth,POR,246
Ken Norman,LAC,245
