Player,Tm,ORB
Moses Malone*,HOU,558
Buck Williams,NJN,347
Robert Parish*,BOS,288
Larry Smith,GSW,279
Maurice Lucas,NYK,274
Elvin Hayes*,HOU,267
Mychal Thompson,POR,258
Jeff Ruland,WSB,253
Magic Johnson*,LAL,252
Mike Mitchell,TOT,244
Bill Laimbeer,TOT,234
Jerome Whitehead,SDC,231
Adrian Dantley*,UTA,231
Dan Roundfield,ATL,227
Artis Gilmore*,CHI,224
Jack Sikma*,SEA,223
Sidney Moncrief*,MIL,221
Julius Erving*,PHI,220
Kelly Tripucka,DET,219
Kent Benson,DET,219
