Player,Tm,FT
Adrian Dantley*,UTA,813
Moses Malone*,PHI,545
Sidney Moncrief*,MIL,529
Kiki Vandeweghe,DEN,494
Jeff Ruland,WSB,466
Mark Aguirre,DAL,465
Bernard King*,NYK,437
George Gervin*,SAS,427
Kelly Tripucka,DET,426
Jack Sikma*,SEA,411
Bill Cartwright,NYK,404
John Drew,UTA,402
World B. Free,CLE,395
Andrew Toney,PHI,390
Isiah Thomas*,DET,388
Dominique Wilkins*,ATL,382
Terry Cummings,SDC,380
Tom Chambers,SEA,375
Larry Bird*,BOS,374
Dan Roundfield,ATL,374
