Player,Tm,FT
Michael Jordan*,CHI,723
Charles Barkley*,PHI,714
Karl Malone*,UTA,552
Moses Malone*,WSB,543
Dominique Wilkins*,ATL,541
Adrian Dantley*,DET,492
Clyde Drexler*,POR,476
Otis Thorpe,SAC,460
Tom Chambers,SEA,419
Magic Johnson*,LAL,417
Larry Bird*,BOS,415
Danny Schayes,DEN,407
Mark Aguirre,DAL,388
Hakeem Olajuwon*,HOU,381
Brad Daugherty,CLE,378
Mike Gminski,TOT,355
Kevin McHale*,BOS,346
Buck Williams,NJN,346
Patrick Ewing*,NYK,341
Bill Cartwright,NYK,340
