Player,Tm,FT
Adrian Dantley*,UTA,632
Moses Malone*,HOU,609
World B. Free,GSW,528
Dan Issel*,DEN,519
George Gervin*,SAS,512
David Thompson*,DEN,489
John Drew,ATL,454
Reggie Theus,CHI,445
Kareem Abdul-Jabbar*,LAL,423
Julius Erving*,PHI,422
Mike Newlin,NJN,414
Dennis Johnson*,PHO,411
Bill Cartwright,NYK,408
Alex English*,DEN,390
Jim Spanarkel,DAL,375
Artis Gilmore*,CHI,375
James Silas,SAS,374
Cedric Maxwell,BOS,352
Tiny Archibald*,BOS,342
Billy Knight,IND,341
