Player,Tm,FT
Karl Malone*,UTA,703
Michael Jordan*,CHI,674
Charles Barkley*,PHI,602
Moses Malone*,ATL,561
Magic Johnson*,LAL,513
Tom Chambers,PHO,509
Kevin Johnson,PHO,508
Chris Mullin*,GSW,493
Adrian Dantley*,TOT,460
Hakeem Olajuwon*,HOU,454
Dominique Wilkins*,ATL,442
Kelly Tripucka,CHH,440
Clyde Drexler*,POR,438
Kevin McHale*,BOS,436
Mitch Richmond*,GSW,410
John Stockton*,UTA,390
Brad Daugherty,CLE,386
Dale Ellis,SEA,377
Thurl Bailey,UTA,363
Terry Cummings,MIL,362
