Player,Tm,FT
Moses Malone*,PHI,737
Michael Jordan*,CHI,630
Purvis Short,GSW,501
Dominique Wilkins*,ATL,486
Artis Gilmore*,SAS,484
Tom Chambers,SEA,475
Sidney Moncrief*,MIL,454
Calvin Natt,DEN,447
Mark Aguirre,DAL,440
Adrian Dantley*,UTA,438
Bernard King*,NYK,426
Orlando Woolridge,CHI,409
Larry Bird*,BOS,403
Derek Smith,LAC,400
Isiah Thomas*,DET,399
Magic Johnson*,LAL,391
Alex English*,DEN,383
Phil Hubbard,CLE,371
Kiki Vandeweghe,POR,369
Kevin McHale*,BOS,355
