Player,Tm,FGA
Alex English*,DEN,1857
Mark Aguirre,DAL,1589
Reggie Theus,CHI,1567
Darrell Griffith,UTA,1554
George Gervin*,SAS,1553
Isiah Thomas*,DET,1537
Kiki Vandeweghe,DEN,1537
Joe Barry Carroll,GSW,1529
Larry Bird*,BOS,1481
World B. Free,TOT,1423
Marques Johnson,MIL,1420
Clark Kellogg,IND,1420
Gus Williams,SEA,1384
Eddie Johnson,KCK,1370
Mike Mitchell,SAS,1342
Jim Paxson,POR,1323
Terry Cummings,SDC,1309
Moses Malone*,PHI,1305
Dan Issel*,DEN,1296
Jamaal Wilkes*,LAL,1290
