Player,Tm,FGA
George Gervin*,SAS,1987
Moses Malone*,HOU,1822
Gus Williams,SEA,1592
Adrian Dantley*,UTA,1586
Alex English*,DEN,1553
Mike Mitchell,TOT,1477
World B. Free,GSW,1452
Jay Vincent,DAL,1448
Darrell Griffith,UTA,1429
Julius Erving*,PHI,1428
Jamaal Wilkes*,LAL,1417
Larry Bird*,BOS,1414
Ray Williams,NJN,1383
Micheal Ray Richardson,NYK,1343
Greg Ballard,WSB,1307
Bernard King*,GSW,1307
Mychal Thompson,POR,1303
Kareem Abdul-Jabbar*,LAL,1301
John Long,DET,1294
Kelly Tripucka,DET,1281
