Player,Tm,FGA
Michael Jordan*,CHI,1998
Dominique Wilkins*,ATL,1957
Alex English*,DEN,1704
Clyde Drexler*,POR,1679
Larry Bird*,BOS,1672
Karl Malone*,UTA,1650
Mark Aguirre,DAL,1571
Dale Ellis,SEA,1519
Alvin Robertson,SAS,1408
Xavier McDaniel,SEA,1407
Terry Cummings,MIL,1392
Hakeem Olajuwon*,HOU,1385
Tom Chambers,SEA,1364
Fat Lever,DEN,1360
Jeff Malone,WSB,1360
Byron Scott,LAL,1348
Isiah Thomas*,DET,1341
Gerald Wilkins,NYK,1324
Reggie Theus,SAC,1318
Thurl Bailey,UTA,1286
