Player,Tm,FGA
Michael Jordan*,CHI,2279
Alex English*,DEN,1920
Dominique Wilkins*,ATL,1787
Ron Harper,CLE,1614
Mark Aguirre,DAL,1590
Xavier McDaniel,SEA,1583
Kiki Vandeweghe,POR,1545
Dale Ellis,SEA,1520
Walter Davis,PHO,1515
Jeff Malone,WSB,1509
Larry Bird*,BOS,1497
Joe Barry Carroll,GSW,1461
Tom Chambers,SEA,1446
Terry Cummings,MIL,1426
Karl Malone*,UTA,1422
Clyde Drexler*,POR,1408
Fat Lever,DEN,1370
Chuck Person,IND,1358
Isiah Thomas*,DET,1353
Hakeem Olajuwon*,HOU,1332
