Player,Tm,FGA
Dominique Wilkins*,ATL,1897
Alex English*,DEN,1888
Mike Mitchell,SAS,1697
Larry Bird*,BOS,1606
Jeff Malone,WSB,1522
Adrian Dantley*,UTA,1453
Terry Cummings,MIL,1438
World B. Free,CLE,1433
Joe Barry Carroll,GSW,1404
Kareem Abdul-Jabbar*,LAL,1338
Kiki Vandeweghe,POR,1332
Mark Aguirre,DAL,1327
Rolando Blackman,DAL,1318
Purvis Short,GSW,1313
Eddie Johnson,SAC,1311
Walter Davis,PHO,1287
Ralph Sampson*,HOU,1280
Herb Williams,IND,1275
Cliff Robinson,WSB,1255
Isiah Thomas*,DET,1248
